1478,"Belavia Belarusian Airlines",58
8576,"Fly540",58
4026,"Potomac Air",58
1299,"Arkefly",58
197,"Azerbaijan Airlines",57
10741,"China United",56
1548,"Bulgaria Air",56
3490,"Middle East Airlines",56
503,"Aeroflot-Nord",55
4840,"Scat Air",55
2575,"Go Air",54
9818,"Air Arabia Maroc",54
2926,"Iraqi Airways",54
1942,"Cyprus Airways",54
83,"Adria Airways",53
2857,"Indonesia AirAsia",52
32,"Afriqiyah Airways",52
1359,"Biman Bangladesh Airlines",52
4356,"Sun Country Airlines",52
1308,"Airlines PNG",51
753,"Aero Condor Peru",51
543,"Air Bangladesh",50
316,"Air Macau",48
2353,"Firefly",48
5038,"TransAsia Airways",48
9082,"Uni Air",48
9541,"Air Mozambique",47
4454,"Sriwijaya Air",46
1290,"Aeromar",46
2117,"Eastern Airways",45
1406,"Balkan Bulgarian Airlines",44
3884,"Pan American Airways",44
3392,"Mandarin Airlines",44
9764,"Zest Air",44
1623,"Canadian North",44
1434,"Bearskin Lake Air Service",43
502,"Abu Dhabi Amiri Flight",43
4937,"Tiger Airways Australia",42
1191,"Air Austral",42
5331,"Virgin America",42
3935,"Peninsula Airways",42
1173,"Airbus France",42
4936,"Tiger Airways",42
4311,"Shaheen Air International",41
816,"Aeroflot-Don",40
3027,"Jet4You",40
4740,"Skymark Airlines",40
3102,"Karat",40
5016,"Tropic Air",40
5335,"Virgin Nigeria Airways",40
5041,"TACV",40
5399,"WebJet Linhas A",38
2293,"Express One International",38
476,"Airlines Of Tasmania",38
240,"Air One",38
3021,"Jetstar Asia Airways",38
3233,"Lao Airlines",38
5207,"USA3000 Airlines",38
1469,"BRA-Transportes Aereos",38
1908,"Corsairfly",37
1663,"Caribbean Airlines",36
1188,"Aer Arann",36
8359,"Star Peru (2I)",36
4255,"Royal Brunei Airlines",36
1073,"Air Moldova",36
3391,"Mandala Airlines",36
2782,"Horizon Airlines",36
338,"Airnorth",36
2774,"Hong Kong Express Airways",36
1581,"CAL Cargo Air Lines",35
1789,"City Airline",34
3674,"Nok Air",34
3574,"NHT Lineas Aereas",34
1886,"Conviasa",34
1626,"Canadian Western Airlines",33
55,"Astral Aviation",33
13254,"Avianova (Russia)",33
